market,latitude,longitude
Jibia (CBM),13.08,7.24
Jibia (CBM),13.08,7.24
Jibia (CBM),13.08,7.24
Jibia (CBM),13.08,7.24
Illela (CBM),13.64,5.28
Illela (CBM),13.64,5.28
Jibia (CBM),13.08,7.24
Jibia (CBM),13.08,7.24
Jibia (CBM),13.08,7.24
Jibia (CBM),13.08,7.24
Jibia (CBM),13.08,7.24
Illela (CBM),13.64,5.28
Illela (CBM),13.64,5.28
Illela (CBM),13.64,5.28
Jibia (CBM),13.08,7.24
Jibia (CBM),13.08,7.24
Illela (CBM),13.64,5.28
Illela (CBM),13.64,5.28
Illela (CBM),13.64,5.28
Jibia (CBM),13.08,7.24
Jibia (CBM),13.08,7.24
Jibia (CBM),13.08,7.24
Illela (CBM),13.64,5.28
Illela (CBM),13.64,5.28
Illela (CBM),13.64,5.28
Jibia (CBM),13.08,7.24
Jibia (CBM),13.08,7.24
Illela (CBM),13.64,5.28
Jibia (CBM),13.08,7.24
Jibia (CBM),13.08,7.24
Illela (CBM),13.64,5.28
Illela (CBM),13.64,5.28
Illela (CBM),13.64,5.28
Jibia (CBM),13.08,7.24
Illela (CBM),13.64,5.28
Illela (CBM),13.64,5.28
Jibia (CBM),13.08,7.24
Jibia (CBM),13.08,7.24
Illela (CBM),13.64,5.28
Illela (CBM),13.64,5.28
Illela (CBM),13.64,5.28
Jibia (CBM),13.08,7.24
Jibia (CBM),13.08,7.24
Jibia (CBM),13.08,7.24
Illela (CBM),13.64,5.28
Illela (CBM),13.64,5.28
Jibia (CBM),13.08,7.24
Jibia (CBM),13.08,7.24
Mai Adoua (CBM),13.18,8.23
Mai Adoua (CBM),13.18,8.23
Mai Adoua (CBM),13.18,8.23
Illela (CBM),13.64,5.28
Illela (CBM),13.64,5.28
Jibia (CBM),13.08,7.24
Jibia (CBM),13.08,7.24
Jibia (CBM),13.08,7.24
Jibia (CBM),13.08,7.24
Mai Adoua (CBM),13.18,8.23
Mai Adoua (CBM),13.18,8.23
Mai Adoua (CBM),13.18,8.23
Mai Adoua (CBM),13.18,8.23
Jibia (CBM),13.08,7.24
Jibia (CBM),13.08,7.24
Mai Adoua (CBM),13.18,8.23
Illela (CBM),13.64,5.28
Illela (CBM),13.64,5.28
Illela (CBM),13.64,5.28
Mai Adoua (CBM),13.18,8.23
Mai Adoua (CBM),13.18,8.23
Mai Adoua (CBM),13.18,8.23
Illela (CBM),13.64,5.28
Jibia (CBM),13.08,7.24
Jibia (CBM),13.08,7.24
Mai Adoua (CBM),13.18,8.23
Mai Adoua (CBM),13.18,8.23
Illela (CBM),13.64,5.28
Illela (CBM),13.64,5.28
Illela (CBM),13.64,5.28
Mai Adoua (CBM),13.18,8.23
Mai Adoua (CBM),13.18,8.23
Mai Adoua (CBM),13.18,8.23
Illela (CBM),13.64,5.28
Illela (CBM),13.64,5.28
Mai Adoua (CBM),13.18,8.23
Mai Adoua (CBM),13.18,8.23
Mai Adoua (CBM),13.18,8.23
Illela (CBM),13.64,5.28
Jibia (CBM),13.08,7.24
Jibia (CBM),13.08,7.24
Mai Adoua (CBM),13.18,8.23
Mai Adoua (CBM),13.18,8.23
Illela (CBM),13.64,5.28
Mai Adoua (CBM),13.18,8.23
Mai Adoua (CBM),13.18,8.23
Illela (CBM),13.64,5.28
Illela (CBM),13.64,5.28
Mai Adoua (CBM),13.18,8.23
Mai Adoua (CBM),13.18,8.23
Illela (CBM),13.64,5.28
Illela (CBM),13.64,5.28
Illela (CBM),13.64,5.28
Dawanau,12.09,8.43
Jibia (CBM),13.08,7.24
Jibia (CBM),13.08,7.24
Mai Adoua (CBM),13.18,8.23
Mai Adoua (CBM),13.18,8.23
Illela (CBM),13.64,5.28
Illela (CBM),13.64,5.28
Illela (CBM),13.64,5.28
Dawanau,12.09,8.43
Mai Adoua (CBM),13.18,8.23
