state,LGA,market,latitude,longitude,pricetype,category,commodity,quantity,unit,year,month,price (NGN)
Katsina,Jibia,Jibia (CBM),13.08,7.24,Wholesale,cereals and tubers,Maize,1.0,KG,2002,January,176.0
Katsina,Jibia,Jibia (CBM),13.08,7.24,Wholesale,cereals and tubers,Millet,1.0,KG,2002,January,150.0
Katsina,Jibia,Jibia (CBM),13.08,7.24,Wholesale,cereals and tubers,Sorghum,1.0,KG,2002,January,156.0
Katsina,Jibia,Jibia (CBM),13.08,7.24,Wholesale,pulses and nuts,Beans (niebe),1.0,KG,2002,January,197.0
Sokoto,Gada,Illela (CBM),13.64,5.28,Wholesale,cereals and tubers,Maize,1.0,KG,2002,January,153.0
Sokoto,Gada,Illela (CBM),13.64,5.28,Wholesale,cereals and tubers,Sorghum,1.0,KG,2002,January,142.0
Katsina,Jibia,Jibia (CBM),13.08,7.24,Wholesale,cereals and tubers,Maize,1.0,KG,2002,February,170.0
Katsina,Jibia,Jibia (CBM),13.08,7.24,Wholesale,cereals and tubers,Sorghum,1.0,KG,2002,February,159.0
Katsina,Jibia,Jibia (CBM),13.08,7.24,Wholesale,cereals and tubers,Millet,1.0,KG,2002,March,175.0
Katsina,Jibia,Jibia (CBM),13.08,7.24,Wholesale,cereals and tubers,Sorghum,1.0,KG,2002,March,172.0
Katsina,Jibia,Jibia (CBM),13.08,7.24,Wholesale,pulses and nuts,Beans (niebe),1.0,KG,2002,March,233.0
Sokoto,Gada,Illela (CBM),13.64,5.28,Wholesale,cereals and tubers,Maize,1.0,KG,2002,March,171.0
Sokoto,Gada,Illela (CBM),13.64,5.28,Wholesale,cereals and tubers,Millet,1.0,KG,2002,March,182.0
Sokoto,Gada,Illela (CBM),13.64,5.28,Wholesale,cereals and tubers,Sorghum,1.0,KG,2002,March,174.0
Katsina,Jibia,Jibia (CBM),13.08,7.24,Wholesale,cereals and tubers,Maize,1.0,KG,2002,April,190.0
Katsina,Jibia,Jibia (CBM),13.08,7.24,Wholesale,pulses and nuts,Beans (niebe),1.0,KG,2002,April,245.0
Sokoto,Gada,Illela (CBM),13.64,5.28,Wholesale,cereals and tubers,Maize,1.0,KG,2002,April,188.0
Sokoto,Gada,Illela (CBM),13.64,5.28,Wholesale,cereals and tubers,Sorghum,1.0,KG,2002,April,186.0
Sokoto,Gada,Illela (CBM),13.64,5.28,Wholesale,pulses and nuts,Beans (niebe),1.0,KG,2002,April,416.0
Katsina,Jibia,Jibia (CBM),13.08,7.24,Wholesale,cereals and tubers,Maize,1.0,KG,2002,May,209.0
Katsina,Jibia,Jibia (CBM),13.08,7.24,Wholesale,cereals and tubers,Millet,1.0,KG,2002,May,195.0
Katsina,Jibia,Jibia (CBM),13.08,7.24,Wholesale,cereals and tubers,Sorghum,1.0,KG,2002,May,195.0
Sokoto,Gada,Illela (CBM),13.64,5.28,Wholesale,cereals and tubers,Maize,1.0,KG,2002,May,189.0
Sokoto,Gada,Illela (CBM),13.64,5.28,Wholesale,cereals and tubers,Millet,1.0,KG,2002,May,192.0
Sokoto,Gada,Illela (CBM),13.64,5.28,Wholesale,cereals and tubers,Sorghum,1.0,KG,2002,May,186.0
Katsina,Jibia,Jibia (CBM),13.08,7.24,Wholesale,cereals and tubers,Sorghum,1.0,KG,2002,June,213.0
Katsina,Jibia,Jibia (CBM),13.08,7.24,Wholesale,pulses and nuts,Beans (niebe),1.0,KG,2002,June,270.0
Sokoto,Gada,Illela (CBM),13.64,5.28,Wholesale,pulses and nuts,Beans (niebe),1.0,KG,2002,June,413.0
Katsina,Jibia,Jibia (CBM),13.08,7.24,Wholesale,cereals and tubers,Maize,1.0,KG,2002,July,233.0
Katsina,Jibia,Jibia (CBM),13.08,7.24,Wholesale,cereals and tubers,Millet,1.0,KG,2002,July,233.0
Sokoto,Gada,Illela (CBM),13.64,5.28,Wholesale,cereals and tubers,Maize,1.0,KG,2002,July,229.0
Sokoto,Gada,Illela (CBM),13.64,5.28,Wholesale,cereals and tubers,Millet,1.0,KG,2002,July,232.0
Sokoto,Gada,Illela (CBM),13.64,5.28,Wholesale,pulses and nuts,Beans (niebe),1.0,KG,2002,July,406.0
Katsina,Jibia,Jibia (CBM),13.08,7.24,Wholesale,cereals and tubers,Maize,1.0,KG,2002,August,216.0
Sokoto,Gada,Illela (CBM),13.64,5.28,Wholesale,cereals and tubers,Maize,1.0,KG,2002,August,205.0
Sokoto,Gada,Illela (CBM),13.64,5.28,Wholesale,cereals and tubers,Millet,1.0,KG,2002,August,207.0
Katsina,Jibia,Jibia (CBM),13.08,7.24,Wholesale,cereals and tubers,Millet,1.0,KG,2002,September,142.0
Katsina,Jibia,Jibia (CBM),13.08,7.24,Wholesale,cereals and tubers,Sorghum,1.0,KG,2002,September,163.0
Sokoto,Gada,Illela (CBM),13.64,5.28,Wholesale,cereals and tubers,Millet,1.0,KG,2002,September,129.0
Sokoto,Gada,Illela (CBM),13.64,5.28,Wholesale,cereals and tubers,Sorghum,1.0,KG,2002,September,131.0
Sokoto,Gada,Illela (CBM),13.64,5.28,Wholesale,pulses and nuts,Beans (niebe),1.0,KG,2002,September,264.0
Katsina,Jibia,Jibia (CBM),13.08,7.24,Wholesale,cereals and tubers,Maize,1.0,KG,2002,October,112.0
Katsina,Jibia,Jibia (CBM),13.08,7.24,Wholesale,cereals and tubers,Millet,1.0,KG,2002,October,120.0
Katsina,Jibia,Jibia (CBM),13.08,7.24,Wholesale,cereals and tubers,Sorghum,1.0,KG,2002,October,130.0
Sokoto,Gada,Illela (CBM),13.64,5.28,Wholesale,cereals and tubers,Millet,1.0,KG,2002,October,101.0
Sokoto,Gada,Illela (CBM),13.64,5.28,Wholesale,cereals and tubers,Sorghum,1.0,KG,2002,October,103.0
